dup1	dup2	type
AEP_HVAEP1.G000375	AEP_HVAEP1.G000338	SD
AEP_HVAEP1.G000384	AEP_HVAEP1.G000323	SD
AEP_HVAEP1.G000799	AEP_HVAEP1.G000896	SD
AEP_HVAEP1.G000804	AEP_HVAEP1.G000936	SD
AEP_HVAEP1.G000807	AEP_HVAEP1.G002558	SD
AEP_HVAEP1.G000810	AEP_HVAEP1.G000906	SD
AEP_HVAEP1.G000817	AEP_HVAEP1.G002570	SD
AEP_HVAEP1.G000818	AEP_HVAEP1.G000910	SD
AEP_HVAEP1.G000824	AEP_HVAEP1.G000918	SD
AEP_HVAEP1.G000825	AEP_HVAEP1.G002588	SD
AEP_HVAEP1.G000827	AEP_HVAEP1.G000921	SD
AEP_HVAEP1.G000833	AEP_HVAEP1.G000897	SD
AEP_HVAEP1.G000842	AEP_HVAEP1.G002589	SD
AEP_HVAEP1.G000846	AEP_HVAEP1.G000886	SD
AEP_HVAEP1.G000847	AEP_HVAEP1.G000885	SD
AEP_HVAEP1.G000858	AEP_HVAEP1.G000877	SD
AEP_HVAEP1.G000859	AEP_HVAEP1.G000876	SD
AEP_HVAEP1.G000860	AEP_HVAEP1.G000875	SD
AEP_HVAEP1.G000861	AEP_HVAEP1.G000872	SD
AEP_HVAEP1.G000862	AEP_HVAEP1.G000869	SD
AEP_HVAEP1.G000885	AEP_HVAEP1.G000783	SD
AEP_HVAEP1.G000911	AEP_HVAEP1.G000827	SD
AEP_HVAEP1.G000919	AEP_HVAEP1.G000819	SD
AEP_HVAEP1.G001660	AEP_HVAEP1.G001953	SD
AEP_HVAEP1.G001667	AEP_HVAEP1.G001869	SD
AEP_HVAEP1.G001681	AEP_HVAEP1.G001771	SD
AEP_HVAEP1.G001683	AEP_HVAEP1.G001767	SD
AEP_HVAEP1.G001684	AEP_HVAEP1.G001762	SD
AEP_HVAEP1.G001685	AEP_HVAEP1.G001761	SD
AEP_HVAEP1.G001692	AEP_HVAEP1.G001936	SD
AEP_HVAEP1.G001760	AEP_HVAEP1.G001689	SD
AEP_HVAEP1.G001779	AEP_HVAEP1.G001656	SD
AEP_HVAEP1.G001833	AEP_HVAEP1.G001655	SD
AEP_HVAEP1.G001834	AEP_HVAEP1.G001656	SD
AEP_HVAEP1.G001835	AEP_HVAEP1.G001657	SD
AEP_HVAEP1.G001861	AEP_HVAEP1.G001660	SD
AEP_HVAEP1.G001866	AEP_HVAEP1.G001664	SD
AEP_HVAEP1.G001867	AEP_HVAEP1.G001665	SD
AEP_HVAEP1.G001933	AEP_HVAEP1.G001689	SD
AEP_HVAEP1.G001938	AEP_HVAEP1.G001686	SD
AEP_HVAEP1.G001939	AEP_HVAEP1.G001683	SD
AEP_HVAEP1.G001946	AEP_HVAEP1.G001690	SD
AEP_HVAEP1.G001948	AEP_HVAEP1.G001669	SD
AEP_HVAEP1.G001948	AEP_HVAEP1.G001689	SD
AEP_HVAEP1.G001949	AEP_HVAEP1.G001688	SD
AEP_HVAEP1.G001951	AEP_HVAEP1.G001686	SD
AEP_HVAEP1.G001952	AEP_HVAEP1.G001665	SD
AEP_HVAEP1.G001952	AEP_HVAEP1.G001685	SD
AEP_HVAEP1.G001954	AEP_HVAEP1.G001658	SD
AEP_HVAEP1.G001955	AEP_HVAEP1.G001664	SD
AEP_HVAEP1.G001957	AEP_HVAEP1.G001657	SD
AEP_HVAEP1.G002569	AEP_HVAEP1.G000815	SD
AEP_HVAEP1.G002575	AEP_HVAEP1.G000819	SD
AEP_HVAEP2.G002677	AEP_HVAEP2.G002730	SD
AEP_HVAEP2.G002683	AEP_HVAEP2.G002737	SD
AEP_HVAEP2.G002685	AEP_HVAEP2.G002743	SD
AEP_HVAEP2.G002686	AEP_HVAEP2.G002749	SD
AEP_HVAEP2.G002691	AEP_HVAEP2.G002756	SD
AEP_HVAEP2.G002717	AEP_HVAEP2.G002817	SD
AEP_HVAEP2.G002748	AEP_HVAEP2.G002845	SD
AEP_HVAEP2.G002752	AEP_HVAEP2.G002848	SD
AEP_HVAEP2.G002759	AEP_HVAEP2.G002857	SD
AEP_HVAEP2.G002772	AEP_HVAEP2.G002710	SD
AEP_HVAEP2.G002779	AEP_HVAEP2.G002868	SD
AEP_HVAEP2.G002830	AEP_HVAEP2.G002732	SD
AEP_HVAEP2.G002848	AEP_HVAEP2.G002909	SD
AEP_HVAEP2.G002854	AEP_HVAEP2.G002754	SD
AEP_HVAEP2.G002856	AEP_HVAEP2.G002898	SD
AEP_HVAEP2.G002863	AEP_HVAEP2.G002897	SD
AEP_HVAEP2.G002869	AEP_HVAEP2.G002885	SD
AEP_HVAEP2.G002871	AEP_HVAEP2.G002878	SD
AEP_HVAEP2.G002873	AEP_HVAEP2.G002876	SD
AEP_HVAEP2.G002874	AEP_HVAEP2.G002875	SD
AEP_HVAEP2.G003010	AEP_HVAEP2.G003100	SD
AEP_HVAEP2.G003028	AEP_HVAEP2.G003090	SD
AEP_HVAEP2.G003032	AEP_HVAEP2.G003082	SD
AEP_HVAEP2.G003033	AEP_HVAEP2.G003078	SD
AEP_HVAEP2.G003034	AEP_HVAEP2.G003066	SD
AEP_HVAEP2.G003036	AEP_HVAEP2.G003065	SD
AEP_HVAEP2.G003042	AEP_HVAEP2.G003164	SD
AEP_HVAEP2.G003055	AEP_HVAEP2.G003166	SD
AEP_HVAEP2.G003058	AEP_HVAEP2.G003167	SD
AEP_HVAEP2.G003060	AEP_HVAEP2.G003168	SD
AEP_HVAEP2.G003085	AEP_HVAEP2.G003180	SD
AEP_HVAEP2.G003110	AEP_HVAEP2.G003206	SD
AEP_HVAEP2.G003129	AEP_HVAEP2.G003217	SD
AEP_HVAEP2.G003174	AEP_HVAEP2.G003064	SD
AEP_HVAEP2.G003478	AEP_HVAEP2.G003506	SD
AEP_HVAEP2.G003481	AEP_HVAEP2.G003507	SD
AEP_HVAEP2.G003482	AEP_HVAEP2.G003508	SD
AEP_HVAEP2.G003483	AEP_HVAEP2.G003509	SD
AEP_HVAEP2.G003485	AEP_HVAEP2.G003510	SD
AEP_HVAEP2.G003487	AEP_HVAEP2.G003522	SD
AEP_HVAEP3.G007336	AEP_HVAEP11.G019362	SD
AEP_HVAEP3.G007336	AEP_HVAEP12.G023991	SD
AEP_HVAEP3.G007337	AEP_HVAEP12.G023990	SD
AEP_HVAEP3.G007337	AEP_HVAEP11.G019361	SD
AEP_HVAEP3.G007338	AEP_HVAEP11.G019360	SD
AEP_HVAEP3.G007339	AEP_HVAEP11.G019359	SD
AEP_HVAEP3.G007339	AEP_HVAEP12.G023989	SD
AEP_HVAEP3.G007341	AEP_HVAEP11.G019357	SD
AEP_HVAEP3.G007343	AEP_HVAEP12.G023986	SD
AEP_HVAEP3.G007343	AEP_HVAEP11.G019354	SD
AEP_HVAEP3.G007344	AEP_HVAEP12.G023985	SD
AEP_HVAEP6.G010589	AEP_HVAEP6.G010650	SD
AEP_HVAEP6.G010591	AEP_HVAEP6.G010651	SD
AEP_HVAEP6.G010592	AEP_HVAEP6.G010652	SD
AEP_HVAEP6.G010593	AEP_HVAEP6.G010653	SD
AEP_HVAEP6.G010594	AEP_HVAEP6.G010654	SD
AEP_HVAEP6.G010648	AEP_HVAEP6.G010585	SD
AEP_HVAEP7.G013500	AEP_HVAEP12.G023985	SD
AEP_HVAEP7.G013501	AEP_HVAEP12.G023995	SD
AEP_HVAEP7.G013502	AEP_HVAEP12.G023996	SD
AEP_HVAEP7.G013503	AEP_HVAEP12.G023997	SD
AEP_HVAEP7.G013504	AEP_HVAEP12.G023998	SD
AEP_HVAEP7.G013523	AEP_HVAEP12.G024015	SD
AEP_HVAEP7.G013564	AEP_HVAEP7.G013593	SD
AEP_HVAEP7.G013570	AEP_HVAEP7.G013588	SD
AEP_HVAEP7.G013572	AEP_HVAEP7.G013587	SD
AEP_HVAEP7.G013573	AEP_HVAEP7.G013586	SD
AEP_HVAEP7.G013574	AEP_HVAEP7.G013584	SD
AEP_HVAEP7.G013579	AEP_HVAEP7.G013583	SD
AEP_HVAEP7.G013580	AEP_HVAEP7.G013582	SD
AEP_HVAEP8.G015021	AEP_HVAEP8.G015095	SD
AEP_HVAEP8.G015047	AEP_HVAEP8.G015107	SD
AEP_HVAEP8.G015052	AEP_HVAEP8.G015110	SD
AEP_HVAEP8.G015053	AEP_HVAEP8.G015112	SD
AEP_HVAEP8.G015054	AEP_HVAEP8.G015114	SD
AEP_HVAEP8.G015069	AEP_HVAEP8.G015131	SD
AEP_HVAEP8.G015104	AEP_HVAEP8.G015175	SD
AEP_HVAEP8.G015109	AEP_HVAEP8.G015179	SD
AEP_HVAEP8.G015117	AEP_HVAEP8.G015061	SD
AEP_HVAEP8.G015128	AEP_HVAEP8.G015198	SD
AEP_HVAEP8.G015138	AEP_HVAEP8.G015204	SD
AEP_HVAEP8.G015157	AEP_HVAEP8.G015209	SD
AEP_HVAEP8.G015208	AEP_HVAEP8.G015156	SD
AEP_HVAEP8.G015214	AEP_HVAEP8.G015163	SD
AEP_HVAEP9.G015528	AEP_HVAEP12.G023987	SD
AEP_HVAEP9.G015529	AEP_HVAEP12.G023988	SD
AEP_HVAEP9.G015529	AEP_HVAEP11.G019358	SD
AEP_HVAEP9.G015530	AEP_HVAEP11.G019361	SD
AEP_HVAEP9.G015530	AEP_HVAEP9.G015540	SD
AEP_HVAEP9.G015531	AEP_HVAEP12.G023990	SD
AEP_HVAEP9.G015532	AEP_HVAEP12.G023991	SD
AEP_HVAEP9.G015532	AEP_HVAEP11.G019362	SD
AEP_HVAEP9.G015533	AEP_HVAEP12.G023992	SD
AEP_HVAEP9.G015533	AEP_HVAEP11.G019363	SD
AEP_HVAEP9.G015535	AEP_HVAEP11.G019364	SD
AEP_HVAEP9.G015535	AEP_HVAEP12.G023996	SD
AEP_HVAEP9.G015535	AEP_HVAEP9.G015545	SD
AEP_HVAEP9.G015536	AEP_HVAEP9.G015546	SD
AEP_HVAEP9.G015536	AEP_HVAEP11.G019365	SD
AEP_HVAEP9.G015537	AEP_HVAEP12.G023997	SD
AEP_HVAEP9.G015537	AEP_HVAEP11.G019366	SD
AEP_HVAEP9.G015538	AEP_HVAEP11.G019367	SD
AEP_HVAEP9.G015538	AEP_HVAEP12.G023998	SD
AEP_HVAEP9.G015539	AEP_HVAEP11.G019359	SD
AEP_HVAEP9.G015539	AEP_HVAEP12.G023989	SD
AEP_HVAEP9.G015539	AEP_HVAEP9.G015529	SD
AEP_HVAEP9.G015540	AEP_HVAEP11.G019360	SD
AEP_HVAEP9.G015541	AEP_HVAEP12.G023990	SD
AEP_HVAEP9.G015541	AEP_HVAEP11.G019361	SD
AEP_HVAEP9.G015541	AEP_HVAEP9.G015531	SD
AEP_HVAEP9.G015542	AEP_HVAEP11.G019362	SD
AEP_HVAEP9.G015542	AEP_HVAEP9.G015532	SD
AEP_HVAEP9.G015542	AEP_HVAEP12.G023991	SD
AEP_HVAEP9.G015543	AEP_HVAEP12.G023995	SD
AEP_HVAEP9.G015543	AEP_HVAEP11.G019363	SD
AEP_HVAEP9.G015543	AEP_HVAEP9.G015534	SD
AEP_HVAEP9.G015545	AEP_HVAEP12.G023996	SD
AEP_HVAEP9.G015545	AEP_HVAEP11.G019364	SD
AEP_HVAEP9.G015546	AEP_HVAEP11.G019365	SD
AEP_HVAEP9.G015547	AEP_HVAEP9.G015537	SD
AEP_HVAEP9.G015547	AEP_HVAEP11.G019366	SD
AEP_HVAEP9.G015548	AEP_HVAEP9.G015538	SD
AEP_HVAEP9.G015548	AEP_HVAEP11.G019367	SD
AEP_HVAEP9.G017114	AEP_HVAEP9.G017122	SD
AEP_HVAEP9.G017115	AEP_HVAEP9.G017123	SD
AEP_HVAEP9.G017116	AEP_HVAEP9.G017124	SD
AEP_HVAEP9.G017117	AEP_HVAEP9.G017125	SD
AEP_HVAEP9.G017118	AEP_HVAEP9.G017126	SD
AEP_HVAEP9.G017121	AEP_HVAEP9.G017127	SD
AEP_HVAEP10.G018019	AEP_HVAEP10.G018064	SD
AEP_HVAEP10.G018023	AEP_HVAEP10.G018062	SD
AEP_HVAEP10.G018036	AEP_HVAEP10.G018048	SD
AEP_HVAEP10.G018042	AEP_HVAEP10.G018043	SD
AEP_HVAEP10.G018051	AEP_HVAEP10.G018033	SD
AEP_HVAEP10.G018059	AEP_HVAEP10.G018031	SD
AEP_HVAEP10.G018984	AEP_HVAEP10.G019034	SD
AEP_HVAEP10.G018992	AEP_HVAEP10.G019007	SD
AEP_HVAEP10.G018994	AEP_HVAEP10.G019002	SD
AEP_HVAEP10.G018996	AEP_HVAEP10.G019000	SD
AEP_HVAEP10.G019030	AEP_HVAEP10.G018988	SD
AEP_HVAEP10.G019031	AEP_HVAEP10.G018987	SD
AEP_HVAEP11.G019354	AEP_HVAEP12.G023986	SD
AEP_HVAEP11.G019357	AEP_HVAEP12.G023987	SD
AEP_HVAEP11.G019358	AEP_HVAEP12.G023988	SD
AEP_HVAEP11.G019359	AEP_HVAEP12.G023989	SD
AEP_HVAEP11.G019361	AEP_HVAEP12.G023990	SD
AEP_HVAEP11.G019362	AEP_HVAEP12.G023991	SD
AEP_HVAEP11.G019363	AEP_HVAEP12.G023992	SD
AEP_HVAEP11.G019364	AEP_HVAEP12.G023996	SD
AEP_HVAEP11.G019366	AEP_HVAEP12.G023997	SD
AEP_HVAEP11.G019367	AEP_HVAEP12.G023998	SD
AEP_HVAEP12.G023971	AEP_HVAEP9.G015537	SD
AEP_HVAEP12.G023987	AEP_HVAEP3.G007341	SD
AEP_HVAEP12.G023993	AEP_HVAEP9.G015534	SD
AEP_HVAEP12.G023998	AEP_HVAEP9.G015548	SD
AEP_HVAEP1.G000001	AEP_HVAEP11.G020686	DD
AEP_HVAEP9.G016845	AEP_HVAEP11.G020686	DD
AEP_HVAEP11.G020463	AEP_HVAEP11.G020686	DD
AEP_HVAEP9.G016844	AEP_HVAEP11.G020686	DD
AEP_HVAEP1.G000630	AEP_HVAEP11.G020686	DD
AEP_HVAEP3.G006332	AEP_HVAEP11.G020686	DD
AEP_HVAEP1.G000377	AEP_HVAEP11.G020686	DD
AEP_HVAEP6.G012185	AEP_HVAEP11.G020686	DD
AEP_HVAEP1.G000377	AEP_HVAEP1.G000630	DD
AEP_HVAEP3.G006332	AEP_HVAEP1.G000630	DD
AEP_HVAEP6.G012185	AEP_HVAEP1.G000630	DD
AEP_HVAEP1.G000001	AEP_HVAEP1.G000630	DD
AEP_HVAEP6.G012185	AEP_HVAEP3.G006332	DD
AEP_HVAEP1.G000001	AEP_HVAEP3.G006332	DD
AEP_HVAEP1.G000630	AEP_HVAEP15.G027267	DD
AEP_HVAEP1.G000377	AEP_HVAEP15.G027267	DD
AEP_HVAEP1.G000001	AEP_HVAEP15.G027267	DD
AEP_HVAEP1.G000002	AEP_HVAEP1.G000009	PD
AEP_HVAEP1.G000005	AEP_HVAEP1.G000009	PD
AEP_HVAEP12.G021396	AEP_HVAEP1.G000009	DD
AEP_HVAEP1.G000009	AEP_HVAEP11.G019391	DD
AEP_HVAEP1.G000002	AEP_HVAEP11.G019391	DD
AEP_HVAEP11.G019391	AEP_HVAEP12.G021396	DD
AEP_HVAEP5.G009058	AEP_HVAEP12.G021396	DD
AEP_HVAEP1.G000002	AEP_HVAEP12.G021396	DD
AEP_HVAEP1.G000009	AEP_HVAEP12.G021395	DD
AEP_HVAEP1.G000002	AEP_HVAEP12.G021395	DD
AEP_HVAEP5.G009058	AEP_HVAEP12.G021395	DD
AEP_HVAEP1.G000003	AEP_HVAEP3.G005083	DD
AEP_HVAEP1.G000007	AEP_HVAEP1.G000004	PD
AEP_HVAEP3.G005083	AEP_HVAEP1.G000004	DD
AEP_HVAEP1.G000003	AEP_HVAEP1.G000004	TD
AEP_HVAEP1.G000004	AEP_HVAEP11.G019353	DD
AEP_HVAEP6.G012353	AEP_HVAEP11.G019353	DD
AEP_HVAEP3.G005083	AEP_HVAEP11.G019353	DD
AEP_HVAEP1.G000007	AEP_HVAEP11.G019353	DD
AEP_HVAEP1.G000003	AEP_HVAEP11.G019353	DD
AEP_HVAEP1.G000008	AEP_HVAEP11.G019353	DD
AEP_HVAEP1.G000003	AEP_HVAEP5.G009064	DD
AEP_HVAEP9.G017676	AEP_HVAEP1.G000008	DD
AEP_HVAEP1.G000004	AEP_HVAEP1.G000008	PD
AEP_HVAEP3.G005083	AEP_HVAEP1.G000008	DD
AEP_HVAEP1.G000264	AEP_HVAEP1.G000008	DD
AEP_HVAEP11.G019353	AEP_HVAEP11.G019385	DD
AEP_HVAEP1.G000004	AEP_HVAEP11.G019385	DD
AEP_HVAEP1.G000007	AEP_HVAEP11.G019385	DD
AEP_HVAEP1.G000008	AEP_HVAEP11.G019385	DD
AEP_HVAEP6.G012353	AEP_HVAEP11.G019385	DD
AEP_HVAEP1.G000004	AEP_HVAEP6.G012353	DD
AEP_HVAEP1.G000008	AEP_HVAEP6.G012353	DD
AEP_HVAEP1.G000005	AEP_HVAEP1.G000002	PD
AEP_HVAEP5.G009058	AEP_HVAEP1.G000002	DD
AEP_HVAEP1.G001362	AEP_HVAEP2.G002668	DD
AEP_HVAEP14.G026774	AEP_HVAEP2.G002668	DD
AEP_HVAEP1.G000006	AEP_HVAEP2.G002668	DD
AEP_HVAEP15.G027957	AEP_HVAEP2.G002668	DD
AEP_HVAEP4.G008341	AEP_HVAEP2.G002668	DD
AEP_HVAEP1.G000009	AEP_HVAEP5.G009058	DD
AEP_HVAEP11.G019391	AEP_HVAEP5.G009058	DD
AEP_HVAEP15.G027279	AEP_HVAEP15.G027268	DD
AEP_HVAEP1.G000261	AEP_HVAEP15.G027268	DD
AEP_HVAEP1.G000010	AEP_HVAEP15.G027268	DD
AEP_HVAEP1.G000408	AEP_HVAEP15.G027268	DD
AEP_HVAEP1.G000162	AEP_HVAEP15.G027268	DD
AEP_HVAEP15.G027276	AEP_HVAEP15.G027268	PD
AEP_HVAEP3.G007121	AEP_HVAEP15.G027268	DD
AEP_HVAEP3.G007121	AEP_HVAEP1.G000261	DD
AEP_HVAEP1.G000010	AEP_HVAEP1.G000261	DD
AEP_HVAEP15.G027279	AEP_HVAEP1.G000261	DD
AEP_HVAEP15.G027276	AEP_HVAEP1.G000261	DD
AEP_HVAEP15.G027276	AEP_HVAEP15.G027270	PD
AEP_HVAEP1.G000408	AEP_HVAEP15.G027270	DD
AEP_HVAEP1.G000162	AEP_HVAEP15.G027270	DD
AEP_HVAEP15.G027268	AEP_HVAEP15.G027270	PD
AEP_HVAEP3.G007121	AEP_HVAEP15.G027270	DD
AEP_HVAEP15.G027279	AEP_HVAEP15.G027270	PD
AEP_HVAEP1.G000261	AEP_HVAEP15.G027270	DD
AEP_HVAEP1.G000010	AEP_HVAEP15.G027270	DD
AEP_HVAEP1.G000010	AEP_HVAEP1.G000408	DD
AEP_HVAEP1.G000261	AEP_HVAEP1.G000408	DD
AEP_HVAEP1.G000162	AEP_HVAEP1.G000408	DD
AEP_HVAEP3.G007121	AEP_HVAEP1.G000408	DD
AEP_HVAEP1.G000011	AEP_HVAEP1.G000016	PD
AEP_HVAEP1.G000016	AEP_HVAEP1.G000018	PD
AEP_HVAEP1.G000011	AEP_HVAEP1.G000018	PD
AEP_HVAEP1.G000016	AEP_HVAEP1.G001639	DD
AEP_HVAEP1.G000011	AEP_HVAEP1.G001639	DD
AEP_HVAEP1.G000182	AEP_HVAEP1.G000087	DD
AEP_HVAEP1.G000043	AEP_HVAEP1.G000087	DD
AEP_HVAEP1.G000281	AEP_HVAEP1.G000087	DD
AEP_HVAEP1.G000012	AEP_HVAEP1.G000087	DD
AEP_HVAEP1.G000084	AEP_HVAEP1.G000293	DD
AEP_HVAEP12.G022939	AEP_HVAEP1.G000293	DD
AEP_HVAEP1.G000045	AEP_HVAEP1.G000293	DD
AEP_HVAEP1.G000058	AEP_HVAEP1.G000293	DD
AEP_HVAEP1.G000183	AEP_HVAEP1.G000293	DD
AEP_HVAEP1.G000012	AEP_HVAEP1.G000293	DD
AEP_HVAEP1.G000159	AEP_HVAEP1.G000224	DD
AEP_HVAEP1.G000475	AEP_HVAEP1.G000224	DD
AEP_HVAEP1.G000281	AEP_HVAEP1.G000224	DD
AEP_HVAEP1.G000073	AEP_HVAEP1.G000224	DD
AEP_HVAEP1.G000087	AEP_HVAEP1.G000224	DD
AEP_HVAEP1.G000012	AEP_HVAEP1.G000224	DD
AEP_HVAEP1.G000182	AEP_HVAEP1.G000217	DD
AEP_HVAEP1.G000073	AEP_HVAEP1.G000217	DD
AEP_HVAEP1.G000012	AEP_HVAEP1.G000217	DD
AEP_HVAEP1.G000087	AEP_HVAEP1.G000217	DD
AEP_HVAEP3.G006599	AEP_HVAEP10.G018962	DD
AEP_HVAEP1.G000013	AEP_HVAEP10.G018962	DD
AEP_HVAEP6.G011950	AEP_HVAEP10.G018962	DD
AEP_HVAEP7.G013438	AEP_HVAEP10.G018962	DD
AEP_HVAEP8.G015365	AEP_HVAEP10.G018962	DD
AEP_HVAEP7.G013439	AEP_HVAEP10.G018962	DD
AEP_HVAEP1.G000013	AEP_HVAEP7.G013439	DD
AEP_HVAEP6.G011950	AEP_HVAEP7.G013439	DD
AEP_HVAEP3.G006599	AEP_HVAEP7.G013439	DD
AEP_HVAEP6.G011180	AEP_HVAEP13.G024851	DD
AEP_HVAEP1.G000589	AEP_HVAEP13.G024851	DD
AEP_HVAEP3.G006591	AEP_HVAEP13.G024851	DD
AEP_HVAEP12.G023107	AEP_HVAEP13.G024851	DD
AEP_HVAEP8.G015246	AEP_HVAEP13.G024851	DD
AEP_HVAEP4.G008239	AEP_HVAEP13.G024851	DD
AEP_HVAEP4.G007565	AEP_HVAEP13.G024851	DD
AEP_HVAEP13.G024364	AEP_HVAEP13.G024851	DD
AEP_HVAEP8.G014189	AEP_HVAEP13.G024851	DD
AEP_HVAEP1.G000014	AEP_HVAEP13.G024851	DD
AEP_HVAEP4.G008239	AEP_HVAEP8.G015246	DD
AEP_HVAEP13.G024364	AEP_HVAEP8.G015246	DD
AEP_HVAEP1.G000014	AEP_HVAEP8.G015246	DD
AEP_HVAEP8.G014189	AEP_HVAEP8.G015246	DD
AEP_HVAEP3.G006591	AEP_HVAEP8.G015246	DD
AEP_HVAEP4.G007565	AEP_HVAEP8.G015246	DD
AEP_HVAEP6.G011180	AEP_HVAEP8.G015246	DD
AEP_HVAEP1.G000014	AEP_HVAEP4.G007565	DD
AEP_HVAEP6.G011180	AEP_HVAEP12.G023107	DD
AEP_HVAEP1.G000014	AEP_HVAEP12.G023107	DD
AEP_HVAEP4.G007501	AEP_HVAEP12.G023107	DD
AEP_HVAEP4.G008239	AEP_HVAEP12.G023107	DD
AEP_HVAEP8.G013995	AEP_HVAEP12.G023107	DD
AEP_HVAEP7.G013107	AEP_HVAEP12.G023107	DD
AEP_HVAEP4.G007565	AEP_HVAEP12.G023107	DD
AEP_HVAEP14.G026046	AEP_HVAEP12.G023107	DD
AEP_HVAEP8.G014189	AEP_HVAEP12.G023107	DD
AEP_HVAEP5.G010290	AEP_HVAEP12.G023107	DD
AEP_HVAEP8.G015246	AEP_HVAEP12.G023107	DD
AEP_HVAEP2.G002815	AEP_HVAEP12.G023107	DD
AEP_HVAEP13.G024364	AEP_HVAEP12.G023107	DD
AEP_HVAEP15.G028281	AEP_HVAEP12.G023107	DD
AEP_HVAEP1.G002086	AEP_HVAEP12.G023107	DD
AEP_HVAEP8.G014336	AEP_HVAEP12.G023107	DD
AEP_HVAEP3.G006591	AEP_HVAEP12.G023107	DD
AEP_HVAEP6.G011993	AEP_HVAEP12.G023107	DD
AEP_HVAEP1.G000589	AEP_HVAEP12.G023107	DD
